repo,package_name,dependency_type,dependency,version_spec,min_version
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cli-highlight,2.1.11,2.1.11
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cli-table3,0.6.5,0.6.5
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cli-table3,0.6.5,0.6.5
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cli-width,4.1.0,4.1.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cliui,7.0.4,7.0.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cliui,7.0.4,7.0.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cliui/node_modules/ansi-regex,5.0.1,5.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cliui/node_modules/ansi-styles,4.3.0,4.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cliui/node_modules/strip-ansi,6.0.1,6.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cliui/node_modules/wrap-ansi,7.0.0,7.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cliui/node_modules/wrap-ansi,7.0.0,7.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,color-convert,2.0.1,2.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,color-convert,2.0.1,2.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,color-name,1.1.4,1.1.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,color-name,1.1.4,1.1.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,commander,10.0.1,10.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,commander,10.0.1,10.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,concat-map,0.0.1,0.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,confbox,0.1.8,0.1.8
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,consola,3.4.2,3.4.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,consola,3.4.2,3.4.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,console-table-printer,2.15.0,2.15.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,content-disposition,1.0.1,1.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,content-type,1.0.5,1.0.5
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cookie,1.1.1,1.1.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cookie,0.7.2,0.7.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cookie-signature,1.2.2,1.2.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cors,2.8.6,2.8.6
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cross-spawn,7.0.6,7.0.6
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,cross-spawn,7.0.6,7.0.6
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,data-uri-to-buffer,4.0.1,4.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,debug,4.4.3,4.4.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,debug,4.4.3,4.4.3
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,decamelize,1.2.0,1.2.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,deep-eql,5.0.2,5.0.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,deep-is,0.1.4,0.1.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,deep-is,0.1.4,0.1.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,defu,6.1.4,6.1.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,defu,6.1.4,6.1.4
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,depd,2.0.0,2.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,detect-libc,2.1.2,2.1.2
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,diff,7.0.0,7.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,dir-glob,3.0.1,3.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,doctrine,3.0.0,3.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,dotenv,17.3.1,17.3.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,dts-resolver,1.2.0,1.2.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,dunder-proto,1.0.1,1.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,eastasianwidth,0.2.0,0.2.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ecdsa-sig-formatter,1.0.11,1.0.11
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,ee-first,1.1.1,1.1.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,emoji-regex,8.0.0,8.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,emoji-regex,8.0.0,8.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,emojilib,2.4.0,2.4.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,emojilib,2.4.0,2.4.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,empathic,1.1.0,1.1.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,encodeurl,2.0.0,2.0.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,environment,1.1.0,1.1.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,environment,1.1.0,1.1.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,es-define-property,1.0.1,1.0.1
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,es-errors,1.3.0,1.3.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,es-module-lexer,1.7.0,1.7.0
databricks-ai-bridge,databricks-ai-bridge,transitive-npm,es-module-lexer,1.7.0,1.7.0
